id,cluster_graph,cluster_kmean,ground
3732034668,14,1,1
3659386794,14,1,0
3741328598,7,1,6
3750698893,14,1,6
3739564093,14,1,18
3749736506,8,8,4
3749658944,8,8,14
3750536550,14,1,4
3756927435,8,8,4
3742800981,14,1,2
3739872182,14,1,4
3750299690,11,2,9
3755339331,14,1,14
3744882183,8,1,8
3754307170,14,1,4
3741139156,14,1,16
3742812973,8,8,19
3744799333,0,1,4
3748414803,14,1,2
3755104649,14,1,9
3744091667,8,8,8
3746599881,14,1,4
3750535656,14,1,4
3750544259,11,2,9
3750699856,8,8,14
3746806186,8,8,8
3741862091,14,1,3
3745303914,8,8,11
3746801783,8,8,0
3739565360,8,8,13
3751474163,14,1,18
3755719042,2,1,18
3745480515,4,1,6
3741652503,14,1,4
3748140458,8,8,18
3747428185,14,1,6
3751467724,14,1,12
3742067304,14,1,4
3743139219,14,1,6
3751481342,8,8,6
3748837959,8,8,12
3741160431,8,8,4
3749003592,8,8,19
3740566260,14,1,19
3746745157,14,1,4
3747790280,14,1,10
3750689848,4,1,17
3750821477,14,1,17
3742485569,12,1,10
3744790964,0,1,4
3754624498,14,1,12
3753067120,14,1,6
3744153445,14,1,0
3740409739,14,1,11
3750536686,14,1,4
3750891388,14,1,4
3755209776,8,8,6
3740819701,8,1,19
3748210116,14,1,13
3744007403,14,1,5
3747974364,14,1,6
3744009807,14,1,4
3746720751,14,1,2
3750537559,14,1,4
3745521026,14,1,3
3745590693,8,8,0
3744437566,14,1,9
3741339021,14,1,0
3749540247,8,8,6
3748852662,8,1,18
3754594297,14,1,14
3753768188,14,1,12
3743485566,14,1,17
3742660721,14,1,12
3754909856,8,8,6
3744797372,0,1,17
3747004451,14,1,0
3743400838,14,1,15
3744003838,14,1,3
3748748240,8,8,18
3741084191,14,1,4
3754311743,14,1,4
3754307481,14,1,0
3747439961,8,8,7
3754448700,14,1,4
3742189561,14,1,16
3755215822,14,1,3
3747762018,8,1,10
3752625210,8,1,11
3753140016,14,1,7
3742659730,8,8,1
3747511119,14,1,1
3748518070,14,1,4
3753684677,14,1,16
3740438172,14,1,19
3743129503,8,8,5
3741127353,14,1,11
3744007414,14,1,5
3754786431,7,1,12
3746724491,14,1,15
3747798081,14,1,4
3748507913,10,1,10
3754420877,14,1,4
3743050242,8,8,18
3742087060,8,8,4
3755213276,14,1,6
3742809066,14,1,15
3757110729,8,8,17
3753489436,14,1,18
3753401591,14,1,9
3741252772,14,1,4
3744808292,14,1,15
3747354677,14,1,6
3748850946,8,1,0
